date,account_balance
2013-11-07,111546.67
2013-11-08,111546.67
2013-11-09,111546.67
2013-11-10,111546.67
2013-11-11,111546.67
2013-11-12,111546.67
2013-11-13,111546.67
2013-11-14,111546.67
2013-11-15,111546.67
2013-11-16,111546.67
2013-11-17,111546.67
2013-11-18,111546.67
2013-11-19,111546.67
2013-11-20,111546.67
2013-11-21,111546.67
2013-11-22,111546.67
2013-11-23,111546.67
2013-11-24,111546.67
2013-11-25,111546.67
2013-11-26,111546.67
2013-11-27,111546.67
2013-11-28,111546.67
2013-11-29,111546.67
2013-11-30,111546.67
2013-12-01,111546.67
2013-12-02,111546.67
2013-12-03,111546.67
2013-12-04,111546.67
2013-12-05,111546.67
2013-12-06,111546.67
2013-12-07,111546.67
2013-12-08,111546.67
2013-12-09,111546.67
2013-12-10,111546.67
2013-12-11,111546.67
2013-12-12,111546.67
2013-12-13,111546.67
2013-12-14,111546.67
2013-12-15,111546.67
2013-12-16,111546.67
2013-12-17,111546.67
2013-12-18,111546.67
2013-12-19,111546.67
2013-12-20,111546.67
2013-12-21,111546.67
2013-12-22,111546.67
2013-12-23,111546.67
2013-12-24,111546.67
2013-12-25,111546.67
2013-12-26,111546.67
2013-12-27,111546.67
2013-12-28,111546.67
2013-12-29,111546.67
2013-12-30,111546.67
2013-12-31,111546.67
2014-01-01,111546.67
2014-01-02,111546.67
2014-01-03,111546.67
2014-01-04,111546.67
2014-01-05,111546.67
2014-01-06,111546.67
2014-01-07,111546.67
2014-01-08,111546.67
2014-01-09,111546.67
2014-01-10,111546.67
2014-01-11,111546.67
2014-01-12,111546.67
2014-01-13,112196.81
2014-01-14,112196.81
2014-01-15,112196.81
2014-01-16,112196.81
2014-01-17,112196.81
2014-01-18,112196.81
2014-01-19,112196.81
2014-01-20,112196.81
2014-01-21,112196.81
2014-01-22,112196.81
2014-01-23,111043.05
2014-01-24,111043.05
2014-01-25,111043.05
2014-01-26,111043.05
2014-01-27,111043.05
2014-01-28,111043.05
2014-01-29,111043.05
2014-01-30,111043.05
2014-01-31,111043.05
2014-02-01,111043.05
2014-02-02,111043.05
2014-02-03,111043.05
2014-02-04,111043.05
2014-02-05,111043.05
2014-02-06,111043.05
2014-02-07,111043.05
2014-02-08,111043.05
2014-02-09,111043.05
2014-02-10,111043.05
2014-02-11,111043.05
2014-02-12,111043.05
2014-02-13,111043.05
2014-02-14,111043.05
2014-02-15,111043.05
2014-02-16,111043.05
2014-02-17,111043.05
2014-02-18,111043.05
2014-02-19,111043.05
2014-02-20,111043.05
2014-02-21,111043.05
2014-02-22,111043.05
2014-02-23,111043.05
2014-02-24,111043.05
2014-02-25,111043.05
2014-02-26,111043.05
2014-02-27,111043.05
2014-02-28,111043.05
2014-03-01,111043.05
2014-03-02,111043.05
2014-03-03,111043.05
2014-03-04,111043.05
2014-03-05,111043.05
2014-03-06,111043.05
2014-03-07,111043.05
2014-03-08,111043.05
2014-03-09,111043.05
2014-03-10,111686.71
2014-03-11,111686.71
2014-03-12,111686.71
2014-03-13,111686.71
