date,account_balance
2018-03-04,127925.37
2018-03-05,127925.37
2018-03-06,127925.37
2018-03-07,127925.37
2018-03-08,127925.37
2018-03-09,127925.37
2018-03-10,127925.37
2018-03-11,127925.37
2018-03-12,129752.93
2018-03-13,129752.93
2018-03-14,129752.93
2018-03-15,129752.93
2018-03-16,129752.93
2018-03-17,129752.93
2018-03-18,129752.93
2018-03-19,130866.98
2018-03-20,130866.98
2018-03-21,130866.98
2018-03-22,130866.98
2018-03-23,130866.98
2018-03-24,130866.98
2018-03-25,130866.98
2018-03-26,130866.98
2018-03-27,130866.98
2018-03-28,130866.98
2018-03-29,130866.98
2018-03-30,130866.98
2018-03-31,130866.98
2018-04-01,130866.98
2018-04-02,130866.98
2018-04-03,130866.98
2018-04-04,130866.98
2018-04-05,130866.98
2018-04-06,130866.98
2018-04-07,130866.98
2018-04-08,130866.98
2018-04-09,130866.98
2018-04-10,130866.98
2018-04-11,130866.98
2018-04-12,130866.98
2018-04-13,130866.98
2018-04-14,130866.98
2018-04-15,130866.98
2018-04-16,130866.98
2018-04-17,130866.98
2018-04-18,130866.98
2018-04-19,130866.98
2018-04-20,130866.98
2018-04-21,130866.98
2018-04-22,130866.98
2018-04-23,130866.98
2018-04-24,128738.69
2018-04-25,128738.69
2018-04-26,128738.69
2018-04-27,128738.69
2018-04-28,128738.69
2018-04-29,128738.69
2018-04-30,128738.69
2018-05-01,128738.69
2018-05-02,128738.69
2018-05-03,128738.69
2018-05-04,128738.69
2018-05-05,128738.69
2018-05-06,128738.69
2018-05-07,128738.69
2018-05-08,128738.69
2018-05-09,128738.69
2018-05-10,128738.69
2018-05-11,128738.69
2018-05-12,128738.69
2018-05-13,128738.69
2018-05-14,128738.69
2018-05-15,128738.69
2018-05-16,128738.69
2018-05-17,128738.69
2018-05-18,128738.69
2018-05-19,128738.69
2018-05-20,128738.69
2018-05-21,128738.69
2018-05-22,128738.69
2018-05-23,128738.69
2018-05-24,128738.69
2018-05-25,128738.69
2018-05-26,128738.69
2018-05-27,128738.69
2018-05-28,128738.69
2018-05-29,128738.69
2018-05-30,128738.69
2018-05-31,129926.81
2018-06-01,129926.81
2018-06-02,129926.81
2018-06-03,129926.81
2018-06-04,129926.81
2018-06-05,129926.81
2018-06-06,129926.81
2018-06-07,129926.81
2018-06-08,129926.81
2018-06-09,129926.81
2018-06-10,129926.81
2018-06-11,129926.81
2018-06-12,129926.81
2018-06-13,128509.26
2018-06-14,128509.26
2018-06-15,128509.26
2018-06-16,128509.26
